symbol,company_name,sector,yahoo_symbol,currency
ABB,ABB India Ltd,Unclassified,ABB.BO,INR
AEGISLOG,Aegis Logistics Ltd,Unclassified,AEGISLOG.BO,INR
ARE&M,Amara Raja Energy & Mobility Ltd,Unclassified,ARE&M.BO,INR
AMBALALSA,Ambalal Sarabhai Enterprises Ltd,Unclassified,AMBALALSA.BO,INR
ANDHRAPET,Andhra Petrochemicals Ltd,Unclassified,ANDHRAPET.BO,INR
ANSALAPI,Ansal Properties & Infrastructure Ltd,Unclassified,ANSALAPI.BO,INR
UTIQUE,Utique Enterprises Ltd,Unclassified,UTIQUE.BO,INR
ARUNAHTEL,Aruna Hotels Ltd,Unclassified,ARUNAHTEL.BO,INR
BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,Unclassified,BOMDYEING.BO,INR
ASIANHOTNR,Asian Hotels (North) Ltd,Unclassified,ASIANHOTNR.BO,INR
ATUL,Atul Ltd,Unclassified,ATUL.BO,INR
ATVPR,ATV Projects India Ltd,Unclassified,ATVPR.BO,INR
BAJAJELEC,Bajaj Electricals Ltd,Unclassified,BAJAJELEC.BO,INR
BAJAJHIND,Bajaj Hindusthan Sugar Ltd,Unclassified,BAJAJHIND.BO,INR
FORCEMOT,Force Motors Ltd,Unclassified,FORCEMOT.BO,INR
BAJFINANCE,Bajaj Finance Ltd,Unclassified,BAJFINANCE.BO,INR
BALRAMCHIN,Balrampur Chini Mills Ltd,Unclassified,BALRAMCHIN.BO,INR
BANCOINDIA,Banco Products (India) Ltd,Unclassified,BANCOINDIA.BO,INR
ABREL,Aditya Birla Real Estate Ltd,Unclassified,ABREL.BO,INR
BANARISUG,Bannari Amman Sugars Ltd,Unclassified,BANARISUG.BO,INR
BASF,BASF India Ltd,Unclassified,BASF.BO,INR
BATAINDIA,Bata India Ltd,Unclassified,BATAINDIA.BO,INR
BEML,BEML Ltd,Unclassified,BEML.BO,INR
BEL,Bharat Electronics Ltd,Unclassified,BEL.BO,INR
BHAGGAS,Bhagawati Gas Ltd,Unclassified,BHAGGAS.BO,INR
BEPL,Bhansali Engineering Polymers Ltd,Unclassified,BEPL.BO,INR
BIHSPONG,Bihar Sponge Iron Ltd,Unclassified,BIHSPONG.BO,INR
BILVYAPAR,Bil Vyapar Ltd,Unclassified,BILVYAPAR.BO,INR
BIRLACABLE,Birla Cable Ltd,Unclassified,BIRLACABLE.BO,INR
BLUESTARCO,Blue Star Ltd,Unclassified,BLUESTARCO.BO,INR
DISAQ,Disa India Ltd,Unclassified,DISAQ.BO,INR
QUESTCAP,Quest Capital Markets Ltd,Unclassified,QUESTCAP.BO,INR
BPL,BPL Ltd,Unclassified,BPL.BO,INR
OAL,Oriental Aromatics Ltd,Unclassified,OAL.BO,INR
CENTEXT,Century Extrusions Ltd,Unclassified,CENTEXT.BO,INR
CESC,CESC Ltd,Unclassified,CESC.BO,INR
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,Unclassified,CHAMBLFERT.BO,INR
EXIDEIND,Exide Industries Ltd,Unclassified,EXIDEIND.BO,INR
CIPLA,Cipla Ltd,Unclassified,CIPLA.BO,INR
DICIND,DIC India Ltd,Unclassified,DICIND.BO,INR
CRISIL,CRISIL Ltd,Unclassified,CRISIL.BO,INR
CGPOWER,CG Power and Industrial Solutions Ltd,Unclassified,CGPOWER.BO,INR
DABUR,Dabur India Ltd,Unclassified,DABUR.BO,INR
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Unclassified,DALMIASUG.BO,INR
ARVIND,Arvind Ltd,Unclassified,ARVIND.BO,INR
BHEL,Bharat Heavy Electricals Ltd,Unclassified,BHEL.BO,INR
HINDPETRO,Hindustan Petroleum Corporation Ltd,Unclassified,HINDPETRO.BO,INR
IFCI,IFCI Ltd,Unclassified,IFCI.BO,INR
MTNL,Mahanagar Telephone Nigam Ltd,Unclassified,MTNL.BO,INR
MRPL,Mangalore Refinery and Petrochemicals Ltd,Unclassified,MRPL.BO,INR
CHENNPETRO,Chennai Petroleum Corporation Ltd,Unclassified,CHENNPETRO.BO,INR
SBIN,State Bank of India,Unclassified,SBIN.BO,INR
SAIL,Steel Authority of India Ltd,Unclassified,SAIL.BO,INR
TITAN,Titan Company Ltd,Unclassified,TITAN.BO,INR
IDBI,IDBI Bank Ltd,Unclassified,IDBI.BO,INR
DCW,DCW Ltd,Unclassified,DCW.BO,INR
DHAMPURSUG,Dhampur Sugar Mills Ltd,Unclassified,DHAMPURSUG.BO,INR
DIAMINESQ,Diamines & Chemicals Ltd,Unclassified,DIAMINESQ.BO,INR
ELANTAS,Elantas Beck India Ltd,Unclassified,ELANTAS.BO,INR
DRREDDY,Dr Reddys Laboratories Ltd,Unclassified,DRREDDY.BO,INR
EIDPARRY,EID Parry India Ltd,Unclassified,EIDPARRY.BO,INR
PGHL,Procter & Gamble Health Ltd,Unclassified,PGHL.BO,INR
ELECTCAST,Electrosteel Castings Ltd,Unclassified,ELECTCAST.BO,INR
ESABINDIA,Esab India Ltd,Unclassified,ESABINDIA.BO,INR
EPL,EPL Ltd,Unclassified,EPL.BO,INR
ESTER,Ester Industries Ltd,Unclassified,ESTER.BO,INR
FGP,FGP Ltd,Unclassified,FGP.BO,INR
PHCAP,PH Capital Ltd,Unclassified,PHCAP.BO,INR
FINCABLES,Finolex Cables Ltd,Unclassified,FINCABLES.BO,INR
COCKERILL,John Cockerill India Ltd,Unclassified,COCKERILL.BO,INR
UFLEX,Uflex Ltd,Unclassified,UFLEX.BO,INR
FOSECOIND,Foseco India Ltd,Unclassified,FOSECOIND.BO,INR
GOLDENTOBC,Golden Tobacco Ltd,Unclassified,GOLDENTOBC.BO,INR
GANESHBE,Ganesh Benzoplast Ltd,Unclassified,GANESHBE.BO,INR
METROGLOBL,Metroglobal Ltd,Unclassified,METROGLOBL.BO,INR
GTL,GTL Ltd,Unclassified,GTL.BO,INR
GODFRYPHLP,Godfrey Phillips India Ltd,Unclassified,GODFRYPHLP.BO,INR
GODREJIND,Godrej Industries Ltd,Unclassified,GODREJIND.BO,INR
KANSAINER,Kansai Nerolac Paints Ltd,Unclassified,KANSAINER.BO,INR
GOODRICKE,Goodricke Group Ltd,Unclassified,GOODRICKE.BO,INR
GOODYEAR,Goodyear India Ltd,Unclassified,GOODYEAR.BO,INR
GTNINDS,GTN Industries Ltd,Unclassified,GTNINDS.BO,INR
GHCL,GHCL Ltd,Unclassified,GHCL.BO,INR
GFLLIMITED,GFL Ltd,Unclassified,GFLLIMITED.BO,INR
GLFL,Gujarat Lease Financing Ltd,Unclassified,GLFL.BO,INR
HCL-INSYS,HCL Infosystems Ltd,Unclassified,HCL-INSYS.BO,INR
HDFCBANK,HDFC Bank Ltd,Unclassified,HDFCBANK.BO,INR
HEROMOTOCO,Hero MotoCorp Ltd,Unclassified,HEROMOTOCO.BO,INR
HFCL,HFCL Ltd,Unclassified,HFCL.BO,INR
HSCL,Himadri Speciality Chemical Ltd,Unclassified,HSCL.BO,INR
HCC,Hindustan Construction Company Ltd,Unclassified,HCC.BO,INR
HINDOILEXP,Hindustan Oil Exploration Company Ltd,Unclassified,HINDOILEXP.BO,INR
AGI,Agi Greenpac Ltd,Unclassified,AGI.BO,INR
HINDZINC,Hindustan Zinc Ltd,Unclassified,HINDZINC.BO,INR
NDLVENTURE,NDL Ventures Ltd,Unclassified,NDLVENTURE.BO,INR
HMT,HMT Ltd,Unclassified,HMT.BO,INR
PRAGBOS,Prag Bosimi Synthetics Ltd,Unclassified,PRAGBOS.BO,INR
HLVLTD,HLV Ltd,Unclassified,HLVLTD.BO,INR
IGPL,IG Petrochemicals Ltd,Unclassified,IGPL.BO,INR
INDIAGLYCO,India Glycols Ltd,Unclassified,INDIAGLYCO.BO,INR
INDLEASE,India Lease Development Ltd,Unclassified,INDLEASE.BO,INR
MARGOFIN,Margo Finance Ltd,Unclassified,MARGOFIN.BO,INR
INDORAMA,Indo Rama Synthetics (India) Ltd,Unclassified,INDORAMA.BO,INR
INFY,Infosys Ltd,Unclassified,INFY.BO,INR
INGERRAND,Ingersoll-Rand (India) Ltd,Unclassified,INGERRAND.BO,INR
ITHL,International Travel House Ltd,Unclassified,ITHL.BO,INR
IONEXCHANG,Ion Exchange India Ltd,Unclassified,IONEXCHANG.BO,INR
SUNDROP,Sundrop Brands Ltd,Unclassified,SUNDROP.BO,INR
JISLJALEQS,Jain Irrigation Systems Ltd,Unclassified,JISLJALEQS.BO,INR
JASCH,Jasch Industries Ltd,Unclassified,JASCH.BO,INR
JINDALPOLY,Jindal Poly Films Ltd,Unclassified,JINDALPOLY.BO,INR
JSWSTEEL,JSW Steel Ltd,Unclassified,JSWSTEEL.BO,INR
KAJARIACER,Kajaria Ceramics Ltd,Unclassified,KAJARIACER.BO,INR
KAKATCEM,Kakatiya Cement Sugar & Industries Ltd,Unclassified,KAKATCEM.BO,INR
KSL,Kalyani Steels Ltd,Unclassified,KSL.BO,INR
WHIRLPOOL,Whirlpool of India Ltd,Unclassified,WHIRLPOOL.BO,INR
KGDENIM,KG Denim Ltd,Unclassified,KGDENIM.BO,INR
KINETICENG,Kinetic Engineering Ltd,Unclassified,KINETICENG.BO,INR
KIRLOSBROS,Kirloskar Brothers Ltd,Unclassified,KIRLOSBROS.BO,INR
KIRLOSIND,Kirloskar Industries Ltd,Unclassified,KIRLOSIND.BO,INR
KIRLFER,Kirloskar Ferrous Industries Ltd,Unclassified,KIRLFER.BO,INR
ENVAIREL,Envair Electrodyne Ltd,Unclassified,ENVAIREL.BO,INR
KOTAKBANK,Kotak Mahindra Bank Ltd,Unclassified,KOTAKBANK.BO,INR
KRIFILIND,Krishna Filament Industries Ltd,Unclassified,KRIFILIND.BO,INR
KSB,KSB Ltd,Unclassified,KSB.BO,INR
LGBBROSLTD,LG Balakrishnan & Bros Ltd,Unclassified,LGBBROSLTD.BO,INR
TRENT,Trent Ltd,Unclassified,TRENT.BO,INR
LMW,LMW Ltd,Unclassified,LMW.BO,INR
LICHSGFIN,LIC Housing Finance Ltd,Unclassified,LICHSGFIN.BO,INR
LUPIN,Lupin Ltd,Unclassified,LUPIN.BO,INR
LYKALABS,Lyka Labs Ltd,Unclassified,LYKALABS.BO,INR
RAMCOCEM,The Ramco Cements Ltd,Unclassified,RAMCOCEM.BO,INR
HYBRIDFIN,Hybrid Financial Services Ltd,Unclassified,HYBRIDFIN.BO,INR
MAFATIND,Mafatlal Industries Ltd,Unclassified,MAFATIND.BO,INR
MAHSEAMLES,Maharashtra Seamless Ltd,Unclassified,MAHSEAMLES.BO,INR
MAHSCOOTER,Maharashtra Scooters Ltd,Unclassified,MAHSCOOTER.BO,INR
MAJESAUT,Majestic Auto Ltd,Unclassified,MAJESAUT.BO,INR
MANALIPETC,Manali Petrochemicals Ltd,Unclassified,MANALIPETC.BO,INR
BARODARY,Baroda Rayon Corporation Ltd,Unclassified,BARODARY.BO,INR
MFSL,Max Financial Services Ltd,Unclassified,MFSL.BO,INR
MIDINDIA,Mid India Industries Ltd,Unclassified,MIDINDIA.BO,INR
MIRCELECTR,Mirc Electronics Ltd,Unclassified,MIRCELECTR.BO,INR
CENTENKA,Century Enka Ltd,Unclassified,CENTENKA.BO,INR
MODTHREAD,Modern Thread India Ltd,Unclassified,MODTHREAD.BO,INR
LORDSCHLO,Lords Chloro Alkali Ltd,Unclassified,LORDSCHLO.BO,INR
SPICEJET,Spicejet Ltd,Unclassified,SPICEJET.BO,INR
MOREPENLAB,Morepen Laboratories Ltd,Unclassified,MOREPENLAB.BO,INR
MRF,MRF Ltd,Unclassified,MRF.BO,INR
HEIDELBERG,HeidelbergCement India Ltd,Unclassified,HEIDELBERG.BO,INR
NCC,NCC Ltd,Unclassified,NCC.BO,INR
VEDL,Vedanta Ltd,Unclassified,VEDL.BO,INR
NAHARSPING,Nahar Spinning Mills Ltd,Unclassified,NAHARSPING.BO,INR
NAPEROL,Naperol Investments Ltd,Unclassified,NAPEROL.BO,INR
GRASIM,Grasim Industries Ltd,Unclassified,GRASIM.BO,INR
NIITLTD,NIIT Ltd,Unclassified,NIITLTD.BO,INR
JAYKAY,Jaykay Enterprises Ltd,Unclassified,JAYKAY.BO,INR
NIRLON,Nirlon Ltd,Unclassified,NIRLON.BO,INR
ONGC,Oil and Natural Gas Corporation Ltd,Unclassified,ONGC.BO,INR
OILCOUNTUB,Oil Country Tubular Ltd,Unclassified,OILCOUNTUB.BO,INR
ORIENTHOT,Oriental Hotels Ltd,Unclassified,ORIENTHOT.BO,INR
OSWALAGRO,Oswal Agro Mills Ltd,Unclassified,OSWALAGRO.BO,INR
INDSUCR,Indian Sucrose Ltd,Unclassified,INDSUCR.BO,INR
PANCM,Panyam Cements & Mineral Industries Ltd,Unclassified,PANCM.BO,INR
RELIANCE,Reliance Industries Ltd,Unclassified,RELIANCE.BO,INR
