symbol,company_name,sector,yahoo_symbol,currency
20MICRONS,20 Microns Limited,Unclassified,20MICRONS.NS,INR
21STCENMGM,21st Century Management Services Limited,Unclassified,21STCENMGM.NS,INR
360ONE,360 ONE WAM LIMITED,Unclassified,360ONE.NS,INR
3IINFOLTD,3i Infotech Limited,Unclassified,3IINFOLTD.NS,INR
3MINDIA,3M India Limited,Unclassified,3MINDIA.NS,INR
3PLAND,3P Land Holdings Limited,Unclassified,3PLAND.NS,INR
5PAISA,5Paisa Capital Limited,Unclassified,5PAISA.NS,INR
63MOONS,63 moons technologies limited,Unclassified,63MOONS.NS,INR
A2ZINFRA,A2Z Infra Engineering Limited,Unclassified,A2ZINFRA.NS,INR
AAATECH,AAA Technologies Limited,Unclassified,AAATECH.NS,INR
AADHARHFC,Aadhar Housing Finance Limited,Unclassified,AADHARHFC.NS,INR
AAKASH,Aakash Exploration Services Limited,Unclassified,AAKASH.NS,INR
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Unclassified,AAREYDRUGS.NS,INR
AARNAV,Aarnav Fashions Limited,Unclassified,AARNAV.NS,INR
AARON,Aaron Industries Limited,Unclassified,AARON.NS,INR
AARTECH,Aartech Solonics Limited,Unclassified,AARTECH.NS,INR
AARTIDRUGS,Aarti Drugs Limited,Unclassified,AARTIDRUGS.NS,INR
AARTIIND,Aarti Industries Limited,Unclassified,AARTIIND.NS,INR
AARTIPHARM,Aarti Pharmalabs Limited,Unclassified,AARTIPHARM.NS,INR
AARTISURF,Aarti Surfactants Limited,Unclassified,AARTISURF.NS,INR
AARVI,Aarvi Encon Limited,Unclassified,AARVI.NS,INR
AAVAS,Aavas Financiers Limited,Unclassified,AAVAS.NS,INR
ABB,ABB India Limited,Unclassified,ABB.NS,INR
ABBOTINDIA,Abbott India Limited,Unclassified,ABBOTINDIA.NS,INR
ABCAPITAL,Aditya Birla Capital Limited,Unclassified,ABCAPITAL.NS,INR
ABCOTS,A B Cotspin India Limited,Unclassified,ABCOTS.NS,INR
ABDL,Allied Blenders and Distillers Limited,Unclassified,ABDL.NS,INR
ABFRL,Aditya Birla Fashion and Retail Limited,Unclassified,ABFRL.NS,INR
ABINFRA,A B Infrabuild Limited,Unclassified,ABINFRA.NS,INR
ABLBL,Aditya Birla Lifestyle Brands Limited,Unclassified,ABLBL.NS,INR
ABMINTLLTD,ABM International Limited,Unclassified,ABMINTLLTD.NS,INR
ABREL,Aditya Birla Real Estate Limited,Unclassified,ABREL.NS,INR
ABSLAMC,Aditya Birla Sun Life AMC Limited,Unclassified,ABSLAMC.NS,INR
ACC,ACC Limited,Unclassified,ACC.NS,INR
ACCELYA,Accelya Solutions India Limited,Unclassified,ACCELYA.NS,INR
ACCURACY,Accuracy Shipping Limited,Unclassified,ACCURACY.NS,INR
ACE,Action Construction Equipment Limited,Unclassified,ACE.NS,INR
ACEINTEG,Ace Integrated Solutions Limited,Unclassified,ACEINTEG.NS,INR
ACI,Archean Chemical Industries Limited,Unclassified,ACI.NS,INR
ACL,Andhra Cements Limited,Unclassified,ACL.NS,INR
ACMESOLAR,Acme Solar Holdings Limited,Unclassified,ACMESOLAR.NS,INR
ACUTAAS,Acutaas Chemicals Limited,Unclassified,ACUTAAS.NS,INR
ADANIENSOL,Adani Energy Solutions Limited,Unclassified,ADANIENSOL.NS,INR
ADANIENT,Adani Enterprises Limited,Unclassified,ADANIENT.NS,INR
ADANIGREEN,Adani Green Energy Limited,Unclassified,ADANIGREEN.NS,INR
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Unclassified,ADANIPORTS.NS,INR
ADANIPOWER,Adani Power Limited,Unclassified,ADANIPOWER.NS,INR
ADFFOODS,ADF Foods Limited,Unclassified,ADFFOODS.NS,INR
ADL,Archidply Decor Limited,Unclassified,ADL.NS,INR
ADOR,Ador Welding Limited,Unclassified,ADOR.NS,INR
ADROITINFO,Adroit Infotech Limited,Unclassified,ADROITINFO.NS,INR
ADSL,Allied Digital Services Limited,Unclassified,ADSL.NS,INR
ADVAIT,Advait Energy Transitions Limited,Unclassified,ADVAIT.NS,INR
ADVANCE,Advance Agrolife Limited,Unclassified,ADVANCE.NS,INR
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Unclassified,ADVANIHOTR.NS,INR
ADVENTHTL,Advent Hotels International Limited,Unclassified,ADVENTHTL.NS,INR
ADVENZYMES,Advanced Enzyme Technologies Limited,Unclassified,ADVENZYMES.NS,INR
AEGISLOG,Aegis Logistics Limited,Unclassified,AEGISLOG.NS,INR
AEGISVOPAK,Aegis Vopak Terminals Limited,Unclassified,AEGISVOPAK.NS,INR
AEPL,Artemis Electricals and Projects Limited,Unclassified,AEPL.NS,INR
AEQUS,Aequs Limited,Unclassified,AEQUS.NS,INR
AEROENTER,Aeroflex Enterprises Limited,Unclassified,AEROENTER.NS,INR
AEROFLEX,Aeroflex Industries Limited,Unclassified,AEROFLEX.NS,INR
AERONEU,Aeroflex Neu Limited,Unclassified,AERONEU.NS,INR
AETHER,Aether Industries Limited,Unclassified,AETHER.NS,INR
AFCONS,Afcons Infrastructure Limited,Unclassified,AFCONS.NS,INR
AFFLE,Affle 3i Limited,Unclassified,AFFLE.NS,INR
AFFORDABLE,Affordable Robotic & Automation Limited,Unclassified,AFFORDABLE.NS,INR
AFIL,Akme Fintrade (India) Limited,Unclassified,AFIL.NS,INR
AFSL,Abans Financial Services Limited,Unclassified,AFSL.NS,INR
AGARIND,Agarwal Industrial Corporation Limited,Unclassified,AGARIND.NS,INR
AGARWALEYE,Dr. Agarwal's Health Care Limited,Unclassified,AGARWALEYE.NS,INR
AGI,AGI Greenpac Limited,Unclassified,AGI.NS,INR
AGIIL,Agi Infra Limited,Unclassified,AGIIL.NS,INR
AGRITECH,Agri-Tech (India) Limited,Unclassified,AGRITECH.NS,INR
AGROPHOS,Agro Phos India Limited,Unclassified,AGROPHOS.NS,INR
AGSTRA,AGS Transact Technologies Limited,Unclassified,AGSTRA.NS,INR
